Student ID,Age,Gender,Gaming Hours,Study Hours,Sleep Hours,Grades
278,24,Male,7,3,8,40
279,20,Female,1,7,6,100
280,23,Male,6,3,4,30
281,16,Female,2,7,7,87
282,20,Female,6,8,8,104
283,18,Male,7,8,7,79
284,16,Male,3,3,8,59
285,19,Male,2,4,6,70
286,20,Female,6,4,4,41
287,22,Female,4,5,4,59
288,16,Male,5,2,8,51
289,18,Male,4,5,6,53
290,17,Female,1,5,4,75
291,24,Female,6,5,8,59
292,21,Male,1,8,6,100
293,18,Male,7,5,8,45
294,23,Male,2,3,6,62
295,23,Female,5,6,4,51
296,17,Other,2,8,7,83
297,21,Male,2,3,8,66
298,22,Female,2,6,4,77
299,17,Male,5,2,8,36
300,17,Male,4,4,5,56
301,16,Male,7,9,5,70
302,23,Female,2,9,5,94
303,16,Female,5,6,8,62
304,24,Female,6,7,6,73
305,21,Male,1,8,6,107
306,22,Male,3,9,8,88
307,22,Male,3,5,4,41
308,18,Female,2,6,4,73
309,17,Male,2,4,4,59
310,24,Female,5,1,7,27
311,23,Male,1,4,6,82
312,22,Male,5,8,8,84
313,24,Male,7,8,6,68
314,19,Male,4,9,5,73
315,19,Male,4,1,8,32
316,16,Male,0,5,5,84
317,23,Female,6,1,8,48
318,18,Female,2,2,5,51
319,22,Male,4,9,4,77
320,17,Male,7,5,6,39
321,17,Male,4,7,4,62
322,22,Male,5,1,4,17
323,21,Male,3,4,6,64
324,18,Female,0,7,5,86
325,24,Male,6,2,4,32
326,21,Male,0,3,5,70
327,21,Male,5,1,6,41
328,16,Male,0,6,5,91
329,19,Female,6,9,4,81
330,21,Male,1,8,6,100
331,21,Male,4,9,7,99
332,20,Female,4,8,7,79
333,16,Male,3,8,5,80
334,23,Female,2,6,4,79
335,20,Female,3,5,6,75
336,20,Male,2,4,8,77
337,22,Female,3,8,6,99
338,19,Male,2,2,4,54
339,21,Female,4,1,4,43
340,19,Male,1,9,8,100
341,18,Male,7,1,7,18
342,22,Female,4,9,5,90
343,23,Female,1,7,5,84
344,19,Other,3,3,8,60
345,17,Female,6,7,4,56
346,18,Male,0,8,6,99
347,16,Male,5,3,7,44
348,23,Male,4,7,5,80
349,18,Male,1,8,4,94
350,22,Male,6,3,5,27
351,20,Female,2,1,8,49
352,20,Male,2,2,6,61
353,22,Male,6,2,8,26
354,24,Male,5,1,6,43
355,20,Female,7,7,8,78
356,16,Female,5,4,8,67
357,16,Female,5,8,6,76
358,17,Male,6,3,5,45
359,21,Female,0,5,7,82
360,24,Male,6,6,7,72
361,23,Female,4,8,6,71
362,20,Female,0,5,8,90
363,16,Male,4,4,4,38
364,22,Female,0,8,5,100
365,20,Female,5,3,7,41
366,21,Male,4,1,5,29
367,22,Female,7,5,6,39
368,18,Male,1,8,8,100
369,18,Male,4,1,7,51
370,20,Male,1,6,8,95
371,21,Male,4,6,7,65
372,24,Female,5,9,7,83
373,20,Male,5,3,6,46
374,16,Female,6,3,4,30
375,19,Male,6,4,6,47
376,20,Other,0,4,5,70
377,20,Female,2,7,8,96
378,22,Female,5,6,5,65
379,19,Male,3,7,5,79
380,16,Male,1,8,7,100
381,20,Male,4,9,6,90
382,22,Female,3,4,4,60
383,21,Female,3,9,4,92
384,20,Male,6,2,8,35
385,19,Male,3,7,6,78
386,17,Female,0,5,4,82
387,19,Male,0,8,6,88
388,18,Female,6,5,5,48
389,16,Female,7,8,5,54
390,23,Female,5,9,8,90
391,20,Male,2,7,5,80
392,19,Male,7,7,4,53
393,23,Female,5,1,8,42
394,22,Female,6,2,7,37
395,17,Male,6,9,5,85
396,16,Male,3,7,6,89
397,19,Female,3,6,8,70
398,23,Female,1,4,5,63
399,17,Female,2,1,6,46
400,18,Other,6,4,6,47
401,16,Male,7,5,6,55
402,16,Male,5,2,7,38
403,18,Female,3,2,6,42
404,20,Female,0,5,4,61
405,18,Male,0,6,8,82
406,16,Male,2,3,4,57
407,16,Female,3,6,6,78
408,23,Male,4,9,6,90
409,17,Male,0,5,7,101
410,18,Female,7,8,6,77
411,17,Female,2,9,7,100
412,18,Female,6,1,4,24
413,22,Male,4,1,7,44
414,16,Female,1,5,8,82
415,23,Female,6,6,8,75
416,17,Female,5,4,6,51
417,18,Female,4,3,5,53
418,24,Male,4,6,4,64
419,22,Male,0,1,5,60
420,19,Male,5,9,6,88
421,20,Male,7,3,4,32
422,17,Female,0,9,8,100
423,23,Female,2,1,8,63
424,19,Female,7,3,4,18
425,24,Female,2,3,6,69
426,20,Male,5,9,7,112
427,24,Male,4,1,5,26
428,19,Male,4,6,6,60
429,20,Male,3,8,6,80
430,24,Male,2,7,4,76
431,23,Female,0,4,7,79
432,18,Other,5,9,8,87
433,16,Male,5,9,5,69
434,18,Male,5,4,6,58
435,19,Female,5,6,5,53
436,17,Male,1,9,8,100
437,16,Female,0,9,8,100
438,22,Female,6,5,4,40
439,23,Female,3,8,8,93
440,22,Male,2,3,4,54
441,20,Female,0,4,4,62
442,16,Male,0,2,7,66
443,22,Female,2,2,5,53
444,22,Male,6,6,6,57
445,24,Male,7,5,7,45
446,18,Female,7,3,4,22
447,24,Female,7,4,5,29
448,16,Female,7,4,6,36
449,16,Female,4,9,5,79
450,19,Female,1,8,4,87
451,24,Male,6,4,4,34
452,21,Female,1,9,8,100
453,18,Female,2,4,8,78
454,16,Female,1,7,4,84
455,19,Female,4,9,5,86
456,24,Male,2,4,7,72
457,18,Female,1,7,8,107
458,24,Male,3,3,5,54
459,22,Male,6,3,8,44
460,19,Female,4,6,6,68
461,18,Male,7,9,8,93
462,20,Female,1,5,4,70
463,20,Male,1,9,8,100
464,18,Male,4,9,6,77
465,24,Female,3,3,8,64
466,19,Female,5,4,6,55
467,20,Female,6,6,6,54
468,19,Female,6,5,8,70
469,20,Female,7,1,7,21
470,22,Male,3,9,7,100
471,24,Male,1,7,6,87
472,22,Male,4,4,7,68
473,20,Female,0,6,8,97
474,22,Female,2,1,4,42
475,20,Male,1,5,6,84
476,18,Female,3,9,8,100
477,22,Female,0,9,7,98
478,17,Male,0,4,8,78
479,24,Male,5,5,8,63
480,16,Female,4,7,7,67
481,21,Female,5,4,7,47
482,22,Female,5,1,8,53
483,23,Male,0,5,8,98
484,24,Other,2,6,8,91
485,17,Male,1,1,4,66
486,17,Male,6,1,5,16
487,20,Other,5,2,6,39
488,20,Male,1,4,7,94
489,21,Female,2,5,5,68
490,18,Male,7,3,4,15
491,23,Female,4,3,5,53
492,16,Female,6,8,7,79
493,21,Male,2,2,8,69
494,19,Female,1,5,8,97
495,16,Male,6,9,5,84
496,22,Female,5,6,5,71
497,24,Male,5,7,6,82
498,19,Male,4,4,5,58
499,19,Male,4,1,7,44
500,21,Male,5,6,5,60
501,18,Female,2,6,4,81
502,21,Male,2,1,6,47
503,22,Male,6,5,5,43
504,18,Male,2,9,4,84
505,22,Male,4,2,6,41
506,18,Female,5,5,5,53
507,17,Other,8,5,6,40
508,19,Male,3,8,5,86
509,23,Female,3,8,7,86
510,24,Female,6,7,8,78
511,22,Male,6,4,6,35
512,16,Female,5,1,7,41
513,18,Female,3,4,8,88
514,24,Female,2,7,5,78
515,16,Female,4,7,4,71
516,24,Male,7,9,5,75
517,23,Female,7,5,6,33
518,16,Female,0,6,7,80
519,21,Female,3,5,4,64
520,20,Female,3,2,8,63
521,21,Male,7,5,4,31
522,20,Other,5,5,8,80
523,21,Female,3,9,8,100
524,20,Male,0,4,8,79
525,20,Male,4,9,8,96
526,19,Female,0,5,4,69
527,18,Male,6,3,7,40
528,18,Male,6,2,5,29
529,19,Male,3,2,8,67
530,24,Male,3,5,5,53
531,17,Male,7,1,5,11
532,24,Male,2,5,8,79
533,16,Male,1,9,4,100
534,16,Female,7,7,4,55
535,20,Female,6,7,6,71
536,21,Male,6,2,7,39
537,21,Male,1,5,7,85
538,18,Female,1,3,7,83
539,22,Male,0,9,8,100
540,24,Male,1,2,4,67
541,23,Male,6,5,6,48
542,21,Female,1,6,7,89
543,23,Female,5,5,7,64
544,20,Female,2,8,6,84
545,23,Female,3,3,4,52
546,19,Female,7,4,4,27
547,23,Male,1,8,4,100
548,17,Female,3,5,5,64
549,20,Male,2,4,4,69
550,24,Female,0,1,6,49
551,19,Female,3,7,4,87
552,21,Female,3,9,7,97
553,16,Male,5,6,8,60
554,24,Male,6,8,5,83
555,16,Female,4,5,6,64
556,20,Female,0,3,8,72
557,19,Female,4,1,6,37
558,18,Male,0,6,8,94
559,21,Female,4,5,4,55
560,17,Female,5,8,8,95
561,18,Female,1,7,6,97
562,20,Female,6,9,4,59
563,24,Female,7,5,8,56
564,17,Female,6,4,8,57
565,23,Female,2,3,5,53
566,17,Other,4,5,8,80
567,20,Male,7,8,4,69
568,22,Male,2,1,7,63
569,23,Female,6,9,4,67
570,16,Female,0,9,5,95
571,21,Female,0,6,7,93
572,16,Female,6,3,5,45
573,17,Male,6,3,4,29
574,16,Female,6,3,6,41
575,20,Female,7,1,5,23
576,24,Male,0,5,7,80
577,21,Male,1,1,4,43
578,16,Female,7,7,8,75
579,16,Male,1,4,5,65
580,17,Female,5,2,5,47
581,24,Male,4,5,5,66
582,18,Female,0,9,7,100
583,16,Female,2,7,4,70
584,20,Female,4,5,6,68
585,22,Male,6,7,5,54
586,21,Female,5,7,8,80
587,16,Male,4,9,4,72
588,20,Male,3,2,8,61
589,20,Other,2,8,4,93
590,21,Female,0,3,4,59
591,18,Female,3,9,5,100
592,20,Male,0,3,4,63
593,22,Male,1,9,6,100
594,20,Male,3,9,8,100
595,20,Female,3,2,4,38
596,20,Female,0,9,6,97
597,18,Female,4,1,5,39
598,16,Female,4,2,5,50
599,20,Male,0,5,5,87
600,24,Male,7,9,8,92
601,16,Male,0,5,4,82
602,18,Male,6,5,7,50
603,19,Male,0,7,5,97
604,16,Female,7,9,5,72
605,16,Male,0,8,6,99
606,23,Female,6,3,5,27
607,17,Male,2,3,4,66
608,23,Other,5,1,4,32
609,22,Female,3,6,5,72
610,17,Female,0,2,8,75
611,21,Male,6,3,4,43
612,21,Female,0,8,7,100
613,18,Female,7,3,5,24
614,17,Male,0,6,8,100
615,16,Male,3,4,6,57
616,21,Male,5,1,4,23
617,20,Female,3,4,8,57
618,24,Female,1,4,4,63
619,16,Female,6,9,6,84
620,22,Male,6,3,6,43
621,20,Male,7,4,5,33
622,20,Female,3,8,8,100
623,17,Male,4,7,8,95
624,18,Female,2,8,8,100
625,22,Female,2,9,8,100
626,21,Male,6,8,6,84
627,17,Female,2,4,4,67
628,21,Male,3,8,7,97
629,17,Female,3,5,5,70
630,17,Male,5,3,4,34
631,17,Female,7,3,6,33
632,18,Male,5,3,8,53
633,17,Male,3,2,4,42
634,19,Female,6,2,8,43
635,24,Male,5,1,6,35
636,21,Female,0,9,4,94
637,16,Male,0,9,8,100
638,23,Female,0,6,8,100
639,22,Male,3,8,5,85
640,18,Female,6,2,5,29
641,16,Male,2,9,5,94
642,20,Male,3,5,8,75
643,19,Male,7,1,4,6
644,23,Female,6,2,5,18
645,16,Male,5,3,7,60
646,16,Female,2,1,6,47
647,19,Female,0,3,5,77
648,23,Male,0,1,8,55
649,20,Female,0,3,8,71
650,17,Male,2,3,8,61
651,21,Male,4,9,5,86
652,20,Female,0,3,8,76
653,17,Female,1,3,7,81
654,18,Female,1,7,4,80
655,24,Male,5,8,7,101
656,22,Male,4,4,4,51
657,22,Male,4,8,7,89
658,21,Female,2,4,7,80
659,23,Female,2,2,7,53
660,19,Female,0,3,4,62
661,23,Male,1,6,7,84
662,19,Male,7,4,4,28
663,23,Male,7,7,8,80
664,24,Male,5,3,7,43
665,18,Male,7,7,4,44
666,18,Female,5,4,4,46
667,17,Female,0,5,7,88
668,18,Female,7,6,6,49
669,18,Male,0,7,7,96
670,20,Male,5,3,5,24
671,20,Female,2,8,7,93
672,17,Male,3,7,4,76
673,21,Female,5,3,6,38
674,20,Female,3,9,8,100
675,21,Male,2,6,7,100
676,16,Female,2,5,4,70
677,20,Male,2,2,8,68
678,24,Female,7,5,4,35
679,17,Female,6,2,7,43
680,16,Male,3,4,6,71
681,24,Male,1,4,5,66
682,24,Female,6,7,4,62
683,24,Female,1,2,4,60
684,21,Male,1,8,8,100
685,23,Female,2,3,8,75
686,16,Male,7,5,6,63
687,19,Male,1,7,4,100
688,16,Male,0,6,8,98
689,23,Male,3,3,6,54
690,16,Male,2,4,6,59
691,18,Other,4,3,6,63
692,19,Male,3,6,5,74
693,23,Male,3,3,6,55
694,21,Male,0,7,7,90
695,22,Female,1,6,6,90
696,23,Female,6,2,8,36
697,17,Male,7,3,5,44
698,23,Male,1,2,6,62
699,18,Male,0,4,5,80
700,22,Male,0,5,7,95
701,18,Male,4,5,4,54
702,22,Male,5,7,4,76
703,17,Male,2,2,8,65
704,21,Female,5,9,4,90
705,18,Male,5,4,7,56
706,18,Female,7,3,8,40
707,24,Female,0,7,6,92
708,22,Female,1,8,4,97
709,20,Male,0,4,5,85
710,22,Male,6,7,8,70
711,24,Male,6,8,5,73
712,16,Female,4,7,7,83
713,22,Male,0,1,7,61
714,21,Female,2,8,6,91
715,24,Female,2,7,7,99
716,16,Male,4,7,5,65
717,19,Female,2,7,6,97
718,24,Male,0,9,7,109
719,19,Male,5,4,4,50
720,18,Male,2,1,5,42
721,24,Male,3,5,7,62
722,17,Female,1,1,7,65
723,19,Male,6,3,6,37
724,21,Male,4,6,7,74
725,17,Female,7,3,6,37
726,23,Female,3,7,8,73
727,23,Male,7,8,7,63
728,16,Female,7,4,5,41
729,18,Female,4,9,5,85
730,24,Male,7,1,7,28
731,20,Male,2,8,8,95
732,21,Male,2,8,4,86
733,19,Female,0,3,6,71
734,17,Female,4,3,4,44
735,23,Female,5,3,5,46
736,21,Female,6,8,7,73
737,20,Male,1,8,4,100
738,24,Male,3,3,7,63
739,16,Male,1,6,8,96
740,20,Female,5,2,8,48
741,21,Female,1,5,5,94
742,20,Male,7,9,7,84
743,21,Female,1,2,8,70
744,21,Male,2,9,4,88
745,22,Male,6,8,6,72
746,19,Male,3,9,8,99
747,23,Male,0,2,5,65
748,22,Male,3,2,8,57
749,24,Male,0,1,6,57
750,22,Male,7,7,4,45
751,18,Male,4,6,6,59
752,18,Female,2,2,5,52
753,23,Male,4,8,5,86
754,20,Other,0,3,6,69
755,19,Male,6,2,6,31
756,23,Male,7,4,6,51
757,21,Male,7,1,4,14
758,17,Male,2,3,8,70
759,19,Female,2,4,6,65
760,19,Male,0,8,8,100
761,21,Female,5,8,8,107
762,21,Female,4,4,5,67
763,16,Female,3,7,4,74
764,23,Female,7,6,8,61
765,21,Female,1,4,7,69
766,18,Male,0,7,4,91
767,24,Female,0,7,7,100
768,17,Male,1,6,4,91
769,23,Male,0,6,4,66
770,18,Male,4,7,6,80
771,20,Female,2,4,4,48
772,21,Female,1,8,8,100
773,21,Male,6,2,8,48
774,19,Female,1,8,7,100
775,18,Male,5,4,4,38
776,19,Male,2,2,5,39
777,16,Male,4,6,5,67
778,19,Male,7,4,6,26
779,16,Male,0,8,4,96
780,16,Female,4,4,6,59
781,21,Female,6,7,6,64
782,20,Male,4,3,8,76
783,19,Female,2,2,8,74
784,18,Female,3,4,6,74
785,16,Female,5,6,7,81
786,21,Female,7,6,4,44
787,17,Male,0,6,5,73
788,23,Female,0,9,8,109
789,20,Female,2,7,7,100
790,22,Male,1,9,4,100
791,17,Male,2,2,6,60
792,23,Female,1,1,8,64
793,17,Male,1,3,5,79
794,19,Other,1,2,4,62
795,16,Male,7,5,8,56
796,20,Female,1,5,6,90
797,24,Male,1,6,6,94
798,16,Female,1,7,5,88
799,24,Female,7,9,8,100
800,23,Male,6,8,8,89
801,21,Female,6,2,6,29
802,22,Male,0,4,4,57
803,18,Male,6,3,6,23
804,16,Male,3,2,4,27
805,20,Female,2,5,4,82
806,17,Male,4,5,5,64
807,20,Male,6,3,4,28
808,23,Male,6,7,8,93
809,24,Female,7,7,4,63
810,17,Female,7,1,6,20
811,18,Male,1,4,4,75
812,18,Male,3,9,7,84
813,16,Female,0,5,4,80
814,23,Male,7,4,6,38
815,21,Female,1,3,7,74
816,23,Female,6,3,8,35
817,24,Female,2,1,7,59
818,20,Male,2,8,4,83
819,18,Female,0,1,4,46
820,20,Female,2,3,7,60
821,20,Female,7,1,5,17
822,20,Male,0,8,6,90
823,18,Male,3,1,8,60
824,19,Male,0,3,8,70
825,24,Female,2,6,8,87
826,24,Female,1,4,8,90
827,17,Male,2,3,7,64
828,23,Male,7,3,7,53
829,23,Male,3,8,5,95
830,22,Female,2,9,8,100
831,23,Female,4,4,5,53
832,18,Male,1,1,6,66
833,21,Male,2,1,5,39
834,16,Male,4,7,4,65
835,22,Female,1,5,6,72
836,16,Female,5,8,5,91
837,24,Female,3,7,6,89
838,16,Male,6,9,6,79
839,16,Female,7,8,6,77
840,22,Male,0,8,4,88
841,17,Female,2,5,6,68
842,20,Male,2,3,8,69
843,23,Female,1,5,5,78
844,23,Female,6,5,6,46
845,18,Female,6,6,6,69
846,22,Female,3,2,8,55
847,18,Male,4,6,7,84
848,21,Male,0,5,4,78
849,21,Female,4,6,8,70
850,18,Male,6,3,8,43
851,22,Male,4,4,7,66
852,18,Male,2,2,6,57
853,23,Female,5,8,7,111
854,19,Male,2,5,6,70
855,16,Male,4,3,7,65
856,19,Male,3,1,8,50
857,22,Male,3,7,8,76
858,19,Female,5,2,6,33
859,21,Other,7,9,8,85
860,24,Female,0,5,4,69
861,16,Male,7,3,4,27
862,20,Female,4,6,6,76
863,22,Female,5,3,7,45
864,16,Male,6,8,4,57
865,19,Female,3,3,6,58
866,21,Female,6,9,4,76
867,17,Female,1,6,7,104
868,20,Female,1,8,8,100
869,16,Male,5,1,7,41
870,21,Male,6,4,5,28
871,21,Female,7,7,8,75
872,19,Male,5,6,7,70
873,23,Male,4,2,8,49
874,19,Female,2,4,7,79
875,23,Female,7,3,8,33
876,23,Male,2,6,8,87
877,20,Female,5,4,6,57
878,19,Female,4,3,5,80
879,17,Female,4,2,7,51
880,18,Male,3,4,6,73
881,18,Male,7,2,7,28
882,19,Male,4,9,5,91
883,19,Male,7,2,6,23
884,20,Male,0,9,6,100
885,19,Male,4,4,8,75
886,23,Male,5,4,7,56
887,21,Female,5,3,4,35
888,21,Male,7,6,5,48
889,23,Female,0,7,4,79
890,22,Female,0,5,4,62
891,23,Male,3,1,5,41
892,17,Female,0,9,8,100
893,24,Female,7,9,8,76
894,16,Male,1,4,5,72
895,23,Female,3,6,6,69
896,19,Male,0,5,7,79
897,19,Female,4,3,8,56
898,20,Male,3,1,8,47
899,23,Female,0,5,4,75
900,20,Male,2,8,5,89
901,23,Female,3,1,4,31
902,16,Male,7,6,7,51
903,24,Female,1,8,7,100
904,21,Female,4,2,5,42
905,18,Male,7,2,8,22
906,23,Female,6,7,6,73
907,24,Male,7,3,8,31
908,21,Female,7,2,4,23
909,22,Female,3,4,4,53
910,16,Female,5,4,5,55
911,20,Female,0,8,4,100
912,20,Male,3,6,7,74
913,19,Male,6,4,4,24
914,21,Male,4,5,7,71
915,22,Female,5,9,4,83
916,24,Male,5,2,5,32
917,16,Female,2,2,8,82
918,21,Female,7,9,8,91
919,22,Male,3,9,6,99
920,18,Female,1,2,8,81
921,23,Male,6,2,7,23
922,20,Male,3,4,6,62
923,24,Female,6,1,8,39
924,20,Male,4,6,5,70
925,24,Male,3,1,5,58
926,19,Female,6,1,7,38
927,24,Male,4,5,5,74
928,20,Other,3,9,4,84
